B4TOD4,B5TOB4,R45TOB4,OMEGA5,GAMMAU,ALPHA4,RE,PT_LOSS
0.01,1.5,2.5,5,0.0,60,50000,0.0656456
0.01,1.5,5.0,-5,-0.5,10,50000,0.442114
0.01,1.5,5.0,-5,-0.5,20,50000,0.269417
0.01,1.5,5.0,-5,-0.5,30,50000,0.206751
0.01,1.5,5.0,-5,-0.5,40,50000,0.167033
0.01,1.5,5.0,-5,-0.5,50,50000,0.145941
0.01,1.5,5.0,-5,-0.5,60,50000,0.138079
0.01,1.5,5.0,-5,0.5,10,50000,0.44402
0.01,1.5,5.0,-5,0.5,20,50000,0.28035
0.01,1.5,5.0,-5,0.5,30,50000,0.221553
0.01,1.5,5.0,-5,0.5,40,50000,0.190355
0.01,1.5,5.0,-5,0.5,50,50000,0.181967
0.01,1.5,5.0,-5,0.5,60,50000,0.18039
0.01,1.5,5.0,-5,0.0,10,50000,0.444345
0.01,1.5,5.0,-5,0.0,20,50000,0.270037
0.01,1.5,5.0,-5,0.0,30,50000,0.200734
0.01,1.5,5.0,-5,0.0,40,50000,0.152966
0.01,1.5,5.0,-5,0.0,50,50000,0.12399
0.01,1.5,5.0,-5,0.0,60,50000,0.108605
0.01,1.5,5.0,0,-0.5,10,50000,0.451331
0.01,1.5,5.0,0,-0.5,20,50000,0.277025
0.01,1.5,5.0,0,-0.5,30,50000,0.202446
0.01,1.5,5.0,0,-0.5,40,50000,0.165819
0.01,1.5,5.0,0,-0.5,50,50000,0.146915
0.01,1.5,5.0,0,-0.5,60,50000,0.137254
0.01,1.5,5.0,0,0.5,10,50000,0.453363
0.01,1.5,5.0,0,0.5,20,50000,0.284437
0.01,1.5,5.0,0,0.5,30,50000,0.218061
0.01,1.5,5.0,0,0.5,40,50000,0.190774
0.01,1.5,5.0,0,0.5,50,50000,0.181185
0.01,1.5,5.0,0,0.5,60,50000,0.179614
0.01,1.5,5.0,0,0.0,10,50000,0.453315
0.01,1.5,5.0,0,0.0,20,50000,0.277257
0.01,1.5,5.0,0,0.0,30,50000,0.196477
0.01,1.5,5.0,0,0.0,40,50000,0.15178
0.01,1.5,5.0,0,0.0,50,50000,0.124615
