    dirname, B4TOD4, B5TOB4, R45TOB4, OMEGA5, GAMMAU, ALPHA4, RE, pt_loss
    "ubend_0.02_1.32_3.11_-3.19_-0.49_44.56_480140.28_0.5",   0.02,   1.32,   3.11,   -3.19,   -0.49,   44.56,   480140,   0.0755427
    "ubend_0.02_1.32_4.33_-2.81_-0.02_20.91_143408.73_0.5",   0.02,   1.32,   4.33,   -2.81,   -0.02,   20.91,   143408,   0.202563
    "ubend_0.02_1.32_4.6_-7.27_0.32_24.64_239977.73_0.5",   0.02,   1.32,   4.6,   -7.27,   0.32,   24.64,   239977,   0.176879
    "ubend_0.02_1.33_2.64_8.44_0.84_29.16_387360.4_0.5",   0.02,   1.33,   2.64,   8.44,   0.84,   29.16,   387360,   0.155628
    "ubend_0.02_1.33_2.72_-8.65_0.74_36.48_293693.25_0.5",   0.02,   1.33,   2.72,   -8.65,   0.74,   36.48,   293693,   0.156676
    "ubend_0.02_1.34_1.38_6.94_0.94_51.69_329023.02_0.5",   0.02,   1.34,   1.38,   6.94,   0.94,   51.69,   329023,   0.157805
    "ubend_0.02_1.35_1.77_-4.23_0.67_44.3_313956.19_0.5",   0.02,   1.35,   1.77,   -4.23,   0.67,   44.3,   313956,   0.12956
    "ubend_0.02_1.35_3.25_-4.03_-0.4_15.41_117429.23_0.5",   0.02,   1.35,   3.25,   -4.03,   -0.4,   15.41,   117429,   0.217705
    "ubend_0.02_1.35_4.86_5.06_-0.09_12.8_459321.01_0.5",   0.02,   1.35,   4.86,   5.06,   -0.09,   12.8,   459321,   0.27758
    "ubend_0.02_1.36_3.23_2.99_0.96_46.96_238812.74_0.5",   0.02,   1.36,   3.23,   2.99,   0.96,   46.96,   238812,   0.229398
    "ubend_0.02_1.36_3.39_-11.82_0.89_53.14_374800.8_0.5",   0.02,   1.36,   3.39,   -11.82,   0.89,   53.14,   374800,   0.228757
    "ubend_0.02_1.38_1.3_10.41_0.61_57.91_326529.61_0.5",   0.02,   1.38,   1.3,   10.41,   0.61,   57.91,   326529,   0.115863
    "ubend_0.02_1.38_2.49_1.73_0.11_19.8_214187.2_0.5",   0.02,   1.38,   2.49,   1.73,   0.11,   19.8,   214187,   0.133248
    "ubend_0.02_1.39_1.23_-5.69_0.01_33.38_403837.03_0.5",   0.02,   1.39,   1.23,   -5.69,   0.01,   33.38,   403837,   0.0497844
    "ubend_0.02_1.39_2.39_11.73_-0.82_22.99_257201.29_0.5",   0.02,   1.39,   2.39,   11.73,   -0.82,   22.99,   257201,   -0.325329
    "ubend_0.02_1.39_3.89_-5.27_-0.83_20.77_198087.48_0.5",   0.02,   1.39,   3.89,   -5.27,   -0.83,   20.77,   198087,   0.190306
    "ubend_0.02_1.3_3.16_0.71_0.01_32.98_185054.74_0.5",   0.02,   1.3,   3.16,   0.71,   0.01,   32.98,   185054,   0.105045
    "ubend_0.02_1.3_3.82_14.96_0.33_52.38_208876.03_0.5",   0.02,   1.3,   3.82,   14.96,   0.33,   52.38,   208876,   0.128644
    "ubend_0.02_1.41_1.73_12.52_0.54_12.42_364332.59_0.5",   0.02,   1.41,   1.73,   12.52,   0.54,   12.42,   364332,   0.00966937
    "ubend_0.02_1.41_2.98_-11.34_-0.3_45.73_120468.55_0.5",   0.02,   1.41,   2.98,   -11.34,   -0.3,   45.73,   120468,   0.0774574
    "ubend_0.02_1.42_1.44_-0.39_0.5_27.56_334321.85_0.5",   0.02,   1.42,   1.44,   -0.39,   0.5,   27.56,   334321,   0.0913942
    "ubend_0.02_1.42_1.89_10.09_-0.16_31.33_240231.94_0.5",   0.02,   1.42,   1.89,   10.09,   -0.16,   31.33,   240231,   0.0595096
    "ubend_0.02_1.43_1.16_-1.99_-0.21_23.52_254602.0_0.5",   0.02,   1.43,   1.16,   -1.99,   -0.21,   23.52,   254602,   0.0563309
    "ubend_0.02_1.43_2.61_-0.84_-0.18_47.98_221887.46_0.5",   0.02,   1.43,   2.61,   -0.84,   -0.18,   47.98,   221887,   0.0577151
    "ubend_0.02_1.44_1.64_14.43_0.4_20.16_477218.1_0.5",   0.02,   1.44,   1.64,   14.43,   0.4,   20.16,   477218,   -0.143065
    "ubend_0.02_1.45_1.56_-8.78_-0.47_14.11_199447.82_0.5",   0.02,   1.45,   1.56,   -8.78,   -0.47,   14.11,   199447,   0.148615
    "ubend_0.02_1.45_2.1_9.32_-0.3_39.82_285324.43_0.5",   0.02,   1.45,   2.1,   9.32,   -0.3,   39.82,   285324,   0.0541174
    "ubend_0.02_1.45_3.62_9.07_0.55_40.66_209674.07_0.5",   0.02,   1.45,   3.62,   9.07,   0.55,   40.66,   209674,   0.151103
    "ubend_0.02_1.47_4.67_-10.17_-0.55_40.54_476392.11_0.5",   0.02,   1.47,   4.67,   -10.17,   -0.55,   40.54,   476392,   0.088991
    "ubend_0.02_1.48_1.11_3.04_0.87_36.55_485132.18_0.5",   0.02,   1.48,   1.11,   3.04,   0.87,   36.55,   485132,   0.127206
    "ubend_0.02_1.48_4.77_8.68_-0.47_10.24_288479.6_0.5",   0.02,   1.48,   4.77,   8.68,   -0.47,   10.24,   288479,   0.353648
